iter	Passed	Remaining
616	24435	54772
617	24471	54725
618	24506	54674
619	24539	54621
620	24573	54568
621	24608	54517
622	24656	54497
623	24691	54448
624	24730	54406
625	24760	54347
626	24794	54294
627	24827	54240
628	24859	54185
629	24890	54127
630	24925	54076
631	24963	54033
632	24997	53982
633	25031	53931
634	25065	53880
635	25102	53836
636	25145	53803
637	25186	53768
638	25228	53733
639	25270	53700
640	25308	53656
641	25342	53605
642	25376	53555
643	25409	53502
644	25444	53452
645	25477	53399
646	25511	53349
647	25546	53300
648	25582	53253
649	25616	53204
650	25655	53163
651	25696	53126
652	25732	53079
653	25766	53029
654	25800	52980
655	25835	52932
656	25868	52879
657	25905	52835
658	25941	52789
659	25976	52740
660	26012	52693
661	26051	52653
662	26091	52615
663	26131	52577
664	26169	52535
665	26203	52486
666	26244	52448
667	26286	52414
668	26334	52394
669	26377	52360
670	26417	52324
671	26461	52293
672	26504	52260
673	26546	52225
674	26583	52181
675	26622	52142
676	26660	52100
677	26696	52055
678	26743	52030
679	26780	51986
680	26816	51938
681	26869	51927
682	26904	51879
683	26941	51834
684	26981	51796
685	27018	51753
686	27053	51704
687	27090	51660
688	27126	51615
689	27161	51566
690	27194	51516
691	27227	51464
692	27262	51416
693	27297	51370
694	27331	51320
695	27363	51268
696	27399	51222
697	27438	51182
698	27472	51133
699	27505	51082
700	27540	51034
701	27577	50991
702	27612	50944
703	27650	50902
704	27691	50865
705	27728	50823
706	27767	50782
707	27810	50749
708	27846	50704
709	27887	50668
710	27922	50622
711	27958	50577
712	27995	50533
713	28030	50486
714	28065	50438
715	28100	50393
716	28136	50347
717	28169	50296
718	28207	50255
719	28240	50206
720	28277	50161
721	28314	50119
722	28349	50072
723	28384	50026
724	28417	49976
725	28450	49925
726	28485	49879
727	28522	49835
728	28557	49789
729	28592	49742
730	28626	49695
731	28658	49643
732	28690	49591
733	28728	49550
734	28762	49502
735	28796	49454
736	28843	49429
737	28878	49382
738	28913	49336
739	28947	49289
740	28981	49241
741	29016	49194
742	29049	49146
743	29105	49134
744	29174	49145
745	29249	49167
746	29313	49169
747	29374	49166
748	29432	49158
749	29491	49152
750	29556	49155
751	29614	49148
752	29663	49123
753	29712	49100
754	29768	49088
755	29814	49059
756	29889	49079
757	29936	49052
758	29986	49028
759	30040	49013
760	30115	49031
761	30170	49016
762	30218	48992
763	30271	48973
764	30330	48964
765	30395	48966
766	30454	48956
767	30509	48942
768	30565	48928
769	30653	48966
770	30709	48952
771	30767	48941
772	30848	48966
773	30884	48920
774	30938	48902
775	30986	48875
776	31036	48851
777	31091	48835
778	31149	48822
779	31199	48799
780	31244	48766
781	31305	48760
782	31365	48751
783	31423	48738
784	31465	48700
785	31502	48656
786	31540	48613
787	31585	48581
788	31623	48537
789	31661	48494
790	31697	48448
791	31737	48407
792	31791	48388
793	31841	48364
794	31885	48330
795	31940	48312
796	31983	48275
797	32027	48241
798	32069	48204
799	32112	48168
800	32151	48127
801	32191	48086
802	32238	48056
803	32295	48041
804	32344	48015
805	32401	47999
806	32462	47989
807	32508	47958
808	32553	47924
809	32609	47907
810	32658	47880
811	32697	47838
812	32735	47794
