iter	Passed	Remaining
542	53174	93715
543	53270	93615
544	53366	93513
545	53462	93412
546	53562	93318
547	53654	93209
548	53741	93092
549	53830	92980
550	53924	92875
551	54030	92791
552	54145	92722
553	54237	92615
554	54323	92496
555	54413	92385
556	54516	92295
557	54611	92194
558	54705	92088
559	54793	91974
560	54884	91864
561	54982	91767
562	55073	91658
563	55174	91566
564	55271	91467
565	55362	91357
566	55464	91266
567	55551	91151
568	55641	91041
569	55725	90919
570	55818	90814
571	55976	90814
572	56070	90711
573	56160	90601
574	56278	90534
575	56375	90436
576	56476	90342
577	56580	90255
578	56686	90169
579	56790	90080
580	56893	89991
581	56992	89895
582	57084	89787
583	57173	89675
584	57296	89618
585	57440	89591
586	57549	89510
587	57649	89416
588	57741	89308
589	57834	89201
590	57931	89103
591	58031	89007
592	58125	88902
593	58221	88802
594	58335	88728
595	58421	88612
596	58513	88505
597	58611	88407
598	58709	88309
599	58810	88215
600	58901	88107
601	58988	87992
602	59071	87873
603	59168	87772
604	59268	87678
605	59367	87581
606	59470	87490
607	59559	87380
608	59655	87278
609	59750	87176
610	59839	87066
611	59931	86960
612	60020	86848
613	60118	86751
614	60214	86650
615	60312	86551
616	60400	86440
617	60504	86351
618	60605	86257
619	60707	86165
620	60797	86056
621	60894	85956
622	60990	85856
623	61088	85759
624	61186	85661
625	61297	85581
626	61415	85511
627	61565	85485
628	61669	85396
629	61754	85280
630	61845	85172
631	61934	85062
632	62038	84971
633	62144	84884
634	62245	84791
635	62337	84685
636	62432	84582
637	62521	84473
638	62627	84384
639	62732	84296
640	62920	84319
641	63231	84505
642	63385	84480
643	63543	84462
644	63765	84526
645	63933	84519
646	64111	84524
647	64379	84647
648	64546	84636
649	64760	84686
650	64937	84688
651	65099	84669
652	65269	84660
653	65410	84613
654	65586	84611
655	65760	84606
656	65927	84591
657	66075	84552
658	66233	84526
659	66400	84509
660	66553	84475
661	66721	84460
662	66902	84461
663	67090	84469
664	67254	84446
665	67401	84403
666	67558	84371
667	67698	84319
668	67880	84318
669	68047	84297
670	68206	84267
671	68361	84230
672	68574	84266
673	68742	84245
674	68925	84242
675	69100	84229
676	69296	84240
677	69483	84241
678	69656	84223
679	69808	84180
680	69987	84170
681	70157	84148
682	70314	84109
683	70486	84089
684	70667	84078
685	70871	84095
686	71064	84098
687	71266	84111
688	71449	84100
689	71641	84101
690	71822	84087
691	72016	84088
692	72197	84074
693	72415	84102
694	72573	84060
695	72748	84037
696	72909	83997
697	73063	83950
698	73255	83945
699	73495	83995
700	73671	83970
701	73831	83927
702	74053	83955
703	74271	83977
704	74417	83917
705	74575	83871
706	74755	83849
707	74922	83811
708	75077	83761
709	75247	83725
710	75420	83694
711	75593	83662
712	75761	83624
713	75925	83582
714	76093	83542
715	76273	83517
716	76447	83484
717	76597	83425
718	76747	83366
719	76924	83334
720	77096	83298
721	77258	83250
722	77424	83206
723	77574	83146
724	77769	83133
725	77936	83089
726	78088	83029
727	78254	82984
728	78448	82967
729	78615	82923
730	78794	82890
731	78950	82833
732	79107	82776
733	79275	82732
734	79450	82693
735	79615	82643
736	79778	82593
737	79945	82544
738	80115	82500
739	80279	82448
740	80453	82407
741	80648	82387
742	80823	82345
743	81010	82317
744	81186	82276
745	81348	82220
746	81508	82162
747	81709	82146
748	81890	82108
749	82005	82005
750	82087	81869
751	82176	81738
752	82257	81601
753	82338	81464
754	82449	81357
755	82611	81300
756	82752	81222
757	82916	81166
758	83087	81117
759	83256	81065
760	83431	81019
761	83599	80966
762	83785	80930
763	83958	80881
764	84131	80831
765	84290	80768
766	84453	80709
767	84636	80668
768	84822	80631
769	84969	80555
770	85144	80506
771	85322	80459
772	85506	80418
773	85684	80370
774	85871	80331
775	86035	80269
776	86194	80203
777	86368	80151
778	86541	80098
779	86705	80035
780	86861	79966
781	87064	79939
782	87233	79880
783	87415	79833
784	87574	79764
785	87745	79707
786	87989	79715
787	88133	79633
788	88296	79567
789	88451	79493
790	88612	79425
791	88785	79368
792	88958	79311
793	89121	79244
794	89285	79177
795	89459	79119
796	89623	79052
797	89785	78984
798	89945	78913
799	90122	78856
800	90296	78797
801	90459	78729
802	90635	78671
803	90806	78608
804	90986	78553
805	91142	78477
806	91306	78407
807	91457	78327
808	91621	78257
809	91762	78167
810	91915	78088
811	92054	77996
812	92231	77936
813	92422	77889
814	92559	77795
815	92800	77788
816	92984	77733
817	93155	77667
818	93331	77605
819	93474	77515
820	93640	77444
821	93814	77379
822	93976	77305
823	94147	77237
824	94336	77184
825	94529	77134
826	94609	76991
827	94683	76844
828	94765	76704
829	94850	76566
830	94931	76424
831	95011	76283
832	95087	76138
833	95160	75991
834	95243	75852
835	95342	75726
836	95441	75600
837	95548	75480
838	95629	75340
839	95705	75197
840	95806	75073
841	95893	74937
842	95967	74793
843	96063	74665
844	96151	74531
845	96244	74401
846	96335	74270
847	96411	74127
